brands,categories,countries,energy-kcal_100g,fat_100g,nutrition_data,nutrition_data_prepared_per,nutrition_grades,product_name,proteins_100g,fiber_100g,nutrition_data_per,salt_100g,saturated-fat_100g,sugars_100g,nutriments_estimated,serving_quantity,nutrition_data_prepared,no_nutrition_data
Milky Food Professional,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures","Canada,France,Maroc,États-Unis",80.6,12.0,on,100g,unknown,Fromage Blanc Nature,7.3,,,,,,,,,
سيدي علي,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","Canada, France, Morocco, United States, en:united-kingdom",0.0,0.0,on,100g,a,Sidi Ali,0.0,0.0,100g,0.0,0.0,1.4,,,,
Jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Snacks,Desserts,Desserts lactés,Desserts lactés fermentés,Desserts lactés fermentés nature,Desserts lactés fermentés nature à la crème","France, India, Morocco, United States, en:netherlands",97.0,3.0,on,100g,a,Perly,8.0,0.0,,0.0,0.0,9.4,,,,
sidi ali,"Bevande e preparati per bevande,Bevande,Acque,Acque di sorgente,Acque minerali,Bevande senza zucchero,Acque minerali naturali","Canada,Francia,Germania,Marocco,Paesi Bassi,Regno Unito,Stati Uniti d'America",0.0,0.0,on,100g,a,Eau minérale naturelle,0.0,,,0.006,,,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'cholesterol_100g': 0, 'fiber_100g': 0, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 0, 'lactose_100g': 0, 'maltose_100g': 0, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'saturated-fat_100g': 0, 'starch_100g': 0, 'sucrose_100g': 0, 'sugars_100g': 0, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 0, 'vitamin-b6_100g': 0, 'vitamin-b9_100g': 0, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0, 'vitamin-pp_100g': 0, 'water_100g': 100}",,,
Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters","France, Morocco, United States, en:canada",,,on,100g,a,Sidi Ali,,,100ml,0.065,,,,,,
Jaouda,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks","France, Morocco, United States, en:netherlands",45.0,1.5,on,100g,b,Lait,3.1,,100ml,0.225,1.0,0.0,,,,
Jaouda,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse","France, Morocco, United States, en:canada",235.0,21.0,on,100g,d,Jben,8.0,0.0,100g,0.46,15.0,0.0,,,,
christaline,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Unsweetened beverages","Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,Netherlands,New Caledonia,Switzerland,United Kingdom,United States",,,on,100g,a,isabelle,,,100ml,0.00275,,,"{'alcohol_100g': 0.0, 'beta-carotene_100g': 0.0, 'carbohydrates_100g': 0.0, 'cholesterol_100g': 0.0, 'copper_100g': 1.7e-05, 'energy-kcal_100g': 0.0, 'energy-kj_100g': 0.0, 'energy_100g': 0.0, 'fat_100g': 0.0, 'fiber_100g': 0.0, 'fructose_100g': 0.0, 'galactose_100g': 0.0, 'glucose_100g': 0.0, 'iodine_100g': 0.0, 'iron_100g': 3e-05, 'lactose_100g': 0.0, 'maltose_100g': 0.0, 'manganese_100g': 8.2e-07, 'pantothenic-acid_100g': 0.0, 'phosphorus_100g': 0.0, 'phylloquinone_100g': 0.0, 'polyols_100g': 0.0, 'proteins_100g': 0.0, 'saturated-fat_100g': 0.0, 'selenium_100g': 5e-07, 'starch_100g': 0.0, 'sucrose_100g': 0.0, 'sugars_100g': 0.0, 'vitamin-a_100g': 0.0, 'vitamin-b12_100g': 0.0, 'vitamin-b1_100g': 0.0, 'vitamin-b2_100g': 0.0, 'vitamin-b6_100g': 0.0, 'vitamin-b9_100g': 0.0, 'vitamin-c_100g': 0.0, 'vitamin-d_100g': 0.0, 'vitamin-e_100g': 0.0, 'vitamin-pp_100g': 0.0, 'water_100g': 100.0, 'zinc_100g': 1.1e-05}",,,
LU,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits fourrés,Biscuits sandwich","Algérie,Belgique,France,Polynésie française,Allemagne,Guadeloupe,Hongrie,Luxembourg,Martinique,Maroc,Nouvelle-Calédonie,La Réunion,Espagne,Suisse,États-Unis",465.0,17.0,on,100g,e,Prince Goût Chocolat au blé complet,6.3,3.9,,0.51,5.6,32.0,,,,
Jaouda,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT","Democratic Republic of the Congo,Mauritania,Morocco,United States",58.0,3.0,on,100g,b,uht jaouda 1L,3.0,,100ml,0.0,0.0,0.0,,,,
